"Date(UTC)","UnixTimeStamp","Value"
"2/6/2022","1644105600","983514"
"2/7/2022","1644192000","1070358"
"2/8/2022","1644278400","1081911"
"2/9/2022","1644364800","1004574"
"2/10/2022","1644451200","1045208"
"2/11/2022","1644537600","1016129"
"2/12/2022","1644624000","1007360"
"2/13/2022","1644710400","877147"
"2/14/2022","1644796800","817097"
"2/15/2022","1644883200","946246"
"2/16/2022","1644969600","934818"
"2/17/2022","1645056000","954536"
"2/18/2022","1645142400","915502"
"2/19/2022","1645228800","942811"
"2/20/2022","1645315200","996667"
"2/21/2022","1645401600","1024820"
"2/22/2022","1645488000","993342"
"2/23/2022","1645574400","1027578"
"2/24/2022","1645660800","1040061"
"2/25/2022","1645747200","1018962"
"2/26/2022","1645833600","976726"
"2/27/2022","1645920000","987886"
"2/28/2022","1646006400","1041081"
"3/1/2022","1646092800","1031112"
"3/2/2022","1646179200","1075955"
"3/3/2022","1646265600","1076987"
"3/4/2022","1646352000","1060451"
"3/5/2022","1646438400","1015134"
"3/6/2022","1646524800","1005864"
"3/7/2022","1646611200","787900"
"3/8/2022","1646697600","727287"
"3/9/2022","1646784000","755018"
"3/10/2022","1646870400","747298"
"3/11/2022","1646956800","782101"
"3/12/2022","1647043200","776855"
"3/13/2022","1647129600","786563"
"3/14/2022","1647216000","844881"
"3/15/2022","1647302400","861336"
"3/16/2022","1647388800","783542"
"3/17/2022","1647475200","818057"
"3/18/2022","1647561600","812355"
"3/19/2022","1647648000","814821"
"3/20/2022","1647734400","774910"
"3/21/2022","1647820800","821038"
"3/22/2022","1647907200","836793"
"3/23/2022","1647993600","833563"
"3/24/2022","1648080000","845987"
"3/25/2022","1648166400","835494"
"3/26/2022","1648252800","811421"
"3/27/2022","1648339200","807265"
"3/28/2022","1648425600","870360"
"3/29/2022","1648512000","871975"
"3/30/2022","1648598400","878014"
"3/31/2022","1648684800","882523"
"4/1/2022","1648771200","868382"
"4/2/2022","1648857600","887146"
"4/3/2022","1648944000","859396"
"4/4/2022","1649030400","851939"
"4/5/2022","1649116800","846619"
"4/6/2022","1649203200","849517"
"4/7/2022","1649289600","842319"
"4/8/2022","1649376000","856125"
"4/9/2022","1649462400","844332"
"4/10/2022","1649548800","815538"
"4/11/2022","1649635200","824060"
"4/12/2022","1649721600","850100"
"4/13/2022","1649808000","864147"
"4/14/2022","1649894400","882984"
"4/15/2022","1649980800","881670"
"4/16/2022","1650067200","877287"
"4/17/2022","1650153600","838158"
"4/18/2022","1650240000","802335"
"4/19/2022","1650326400","811601"
"4/20/2022","1650412800","846603"
"4/21/2022","1650499200","820556"
"4/22/2022","1650585600","816859"
"4/23/2022","1650672000","829825"
"4/24/2022","1650758400","813365"
